Son dinlenen 3 sanatçı,Son dinlenen 3 albüm,output 0,output 1,timestamp
"Ladytron, Ghostface Killah, UNKLE","Silent Shout, Ironman, OK Computer",Hata: y contains previously unseen labels: 'ladytron',Hata: y contains previously unseen labels: 'silent shout',2025-12-28 01:51:22.771141
"Ladytron, Ghostface Killah, UNKLE","Silent Shout, Ironman, OK Computer",Hata: y contains previously unseen labels: 'ladytron',Hata: y contains previously unseen labels: 'silent shout',2025-12-28 01:51:27.483315
